bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
50,0,WAKE,1084,51,1083,51,-1032,-0.6547396,-0.6547396,0,0,1,-0.9260077,-0.9260077,0,0,1,NaN,,0
51,1,NREM,1086,52,1085,52,-1033,1.296968,1.296968,0,0,1,-0.9015638,-0.9015638,0,0,1,NaN,,0
52,0,WAKE,1117,53,1116,53,-1063,-0.394257,-0.394257,0,0,1,-0.9275988,-0.9275988,0,0,1,NaN,,0
53,1,NREM,1119,54,1118,54,-1064,-0.364024,-0.364024,0,0,1,-0.9349366,-0.9349366,0,0,1,NaN,,0
54,0,WAKE,1132,55,1131,55,-1076,-0.374669,-0.374669,0,0,1,-0.9500781,-0.9500781,0,0,1,NaN,,0
55,1,NREM,1133,56,1132,56,-1076,-0.3960061,-0.3960061,0,0,1,-0.9495662,-0.9495662,0,0,1,NaN,,0
56,0,WAKE,1161,57,1160,57,-1103,-0.02789769,-0.02789769,0,0,1,-0.8625137,-0.8625137,0,0,1,NaN,,0
57,1,NREM,1162,58,1161,58,-1103,-0.5860755,-0.5860755,0,0,1,-0.8558009,-0.8558009,0,0,1,NaN,,0
58,0,WAKE,1194,59,1193,59,-1134,-1.329586,-1.329586,0,0,1,-0.6748515,-0.6748515,0,0,1,NaN,,0
59,1,NREM,1197,60,1196,60,-1136,1.821345,1.821345,0,0,1,-0.6554799,-0.6554799,0,0,1,NaN,,0
60,0,WAKE,1222,61,1221,61,-1160,-0.4227721,-0.4227721,0,0,1,-0.5178717,-0.5178717,0,0,1,NaN,,0
61,1,NREM,1226,62,1225,62,-1163,0.4596328,0.4596328,0,0,1,-0.5115322,-0.5115322,0,0,1,NaN,,0
62,0,WAKE,1252,63,1251,63,-1188,-0.889756,-0.889756,0,0,1,-0.5213826,-0.5213826,0,0,1,NaN,,0
63,1,NREM,1255,64,1254,64,-1190,0.3067441,0.3067441,0,0,1,-0.5094012,-0.5094012,0,0,1,NaN,,0
64,0,WAKE,1301,65,1300,65,-1235,0.4490503,0.4490503,0,0,1,0.1045014,0.1045014,0,0,1,NaN,,0
65,1,NREM,1311,66,1310,66,-1244,4.356401,4.356401,0,0,1,0.2454876,0.2454876,0,0,1,NaN,,0
66,0,WAKE,1332,67,1331,67,-1264,-1.049007,-1.049007,0,0,1,0.4407508,0.4407508,0,0,1,NaN,,0
67,1,NREM,1338,68,1337,68,-1269,2.633274,2.633274,0,0,1,0.4554779,0.4554779,0,0,1,NaN,,0
68,0,WAKE,1352,69,1351,69,-1282,0.0005258612,0.0005258612,0,0,1,0.3663134,0.3663134,0,0,1,NaN,,0
69,1,NREM,1353,70,1352,70,-1282,0.4459544,0.4459544,0,0,1,0.3577175,0.3577175,0,0,1,NaN,,0
70,0,WAKE,1370,71,1369,71,-1298,-1.51638,-1.51638,0,0,1,0.3046103,0.3046103,0,0,1,NaN,,0
71,1,NREM,1371,72,1370,72,-1298,-0.730233,-0.730233,0,0,1,0.3005359,0.3005359,0,0,1,NaN,,0
72,0,WAKE,1396,73,1395,73,-1322,1.737637,1.737637,0,0,1,0.448438,0.448438,0,0,1,NaN,,0
73,1,NREM,1400,74,1399,74,-1325,1.017962,1.017962,0,0,1,0.4850255,0.4850255,0,0,1,NaN,,0
74,0,WAKE,1406,75,1405,75,-1330,0.9241422,0.9241422,0,0,1,0.5327665,0.5327665,0,0,1,NaN,,0
75,1,NREM,1438,76,1437,76,-1361,1.234749,1.234749,0,0,1,0.4499499,0.4499499,0,0,1,NaN,,0
76,0,WAKE,1452,77,1451,77,-1374,-0.1296389,-0.1296389,0,0,1,0.1751587,0.1751587,0,0,1,NaN,,0
77,1,NREM,1453,78,1452,78,-1374,0.05360785,0.05360785,0,0,1,0.152997,0.152997,0,0,1,NaN,,0
78,0,WAKE,1470,79,1469,79,-1390,-0.02669216,-0.02669216,0,0,1,-0.2083313,-0.2083313,0,0,1,NaN,,0
79,1,NREM,1471,80,1470,80,-1390,-0.03034713,-0.03034713,0,0,1,-0.2262076,-0.2262076,0,0,1,NaN,,0
80,0,WAKE,1480,81,1479,81,-1398,-0.3691808,-0.3691808,0,0,1,-0.3690975,-0.3690975,0,0,1,NaN,,0
81,1,NREM,1481,82,1480,82,-1398,0.09398736,0.09398736,0,0,1,-0.3816952,-0.3816952,0,0,1,NaN,,0
82,0,WAKE,1486,83,1485,83,-1402,-0.6718718,-0.6718718,0,0,1,-0.4346668,-0.4346668,0,0,1,NaN,,0
83,1,NREM,1487,84,1486,84,-1402,-1.161034,-1.161034,0,0,1,-0.4427233,-0.4427233,0,0,1,NaN,,0
84,0,WAKE,1509,85,1508,85,-1423,-0.8309247,-0.8309247,0,0,1,-0.4843784,-0.4843784,0,0,1,NaN,,0
85,1,NREM,1510,86,1509,86,-1423,0.1482462,0.1482462,0,0,1,-0.482503,-0.482503,0,0,1,NaN,,0
86,0,WAKE,1531,87,1530,87,-1443,0.2857841,0.2857841,0,0,1,-0.3441004,-0.3441004,0,0,1,NaN,,0
87,1,NREM,1532,88,1531,88,-1443,0.447719,0.447719,0,0,1,-0.3334059,-0.3334059,0,0,1,NaN,,0
88,0,WAKE,1544,89,1543,89,-1454,0.8930102,0.8930102,0,0,1,-0.2142846,-0.2142846,0,0,1,NaN,,0
89,1,NREM,1545,90,1544,90,-1454,0.6794326,0.6794326,0,0,1,-0.2054247,-0.2054247,0,0,1,NaN,,0
90,0,WAKE,1555,91,1554,91,-1463,-1.047648,-1.047648,0,0,1,-0.128909,-0.128909,0,0,1,NaN,,0
91,1,NREM,1556,92,1555,92,-1463,-0.9535496,-0.9535496,0,0,1,-0.122309,-0.122309,0,0,1,NaN,,0
92,0,WAKE,1573,93,1572,93,-1479,0.8128194,0.8128194,0,0,1,0.0004208585,0.0004208585,0,0,1,NaN,,0
93,1,NREM,1574,94,1573,94,-1479,0.9681622,0.9681622,0,0,1,0.007183481,0.007183481,0,0,1,NaN,,0
94,0,WAKE,1584,95,1583,95,-1488,-0.18632,-0.18632,0,0,1,0.06368756,0.06368756,0,0,1,NaN,,0
95,1,NREM,1585,96,1584,96,-1488,-0.08045048,-0.08045048,0,0,1,0.06855106,0.06855106,0,0,1,NaN,,0
96,0,WAKE,1604,97,1603,97,-1506,-0.03722341,-0.03722341,0,0,1,0.1337094,0.1337094,0,0,1,NaN,,0
97,1,NREM,1605,98,1604,98,-1506,1.194243,1.194243,0,0,1,0.1344915,0.1344915,0,0,1,NaN,,0
98,0,WAKE,1619,99,1618,99,-1519,-0.3307765,-0.3307765,0,0,1,0.1112835,0.1112835,0,0,1,NaN,,0
99,1,NREM,1620,100,1619,100,-1519,0.05224534,0.05224534,0,0,1,0.1082082,0.1082082,0,0,1,NaN,,0
100,0,WAKE,1632,101,1631,101,-1530,0.2788338,0.2788338,0,0,1,0.07470356,0.07470356,0,0,1,NaN,,0
101,1,NREM,1633,102,1632,102,-1530,1.089492,1.089492,0,0,1,0.07316405,0.07316405,0,0,1,NaN,,0
102,0,WAKE,1651,103,1650,103,-1547,-0.7807596,-0.7807596,0,0,1,0.1084337,0.1084337,0,0,1,NaN,,0
103,1,NREM,1652,104,1651,104,-1547,0.3089813,0.3089813,0,0,1,0.1141847,0.1141847,0,0,1,NaN,,0
104,0,WAKE,1668,105,1667,105,-1562,-0.8317487,-0.8317487,0,0,1,0.2347406,0.2347406,0,0,1,NaN,,0
105,1,NREM,1669,106,1668,106,-1562,-0.8859794,-0.8859794,0,0,1,0.2418592,0.2418592,0,0,1,NaN,,0
106,0,WAKE,1678,107,1677,107,-1570,-0.2737689,-0.2737689,0,0,1,0.3042501,0.3042501,0,0,1,NaN,,0
