t_s,z_peak,prominence_z,width_s,resid_peak_df
0.88473598230528,52.43362,57.47746,0.81497,29.97875
213.90949972181,3.325473,5.83763,5.17668,1.924111
331.972601360548,4.614614,7.477621,15.2939,2.660575
336.101369277973,3.675882,1.027761,1.463712,2.124294
340.721657185567,2.504683,1.185624,1.816176,1.455209
347.406329051873,3.577259,2.803494,2.650224,2.067952
361.463800770724,4.075977,2.415054,6.867648,2.352862
368.541688629166,4.576185,4.242176,6.15768,2.638622
759.791600804168,2.783006,2.307969,2.505936,1.61421
770.015216599696,3.742443,6.178841,11.15179,2.162319
773.455856530883,3.164177,1.029916,1.294608,1.831966
868.810734623785,4.126904,6.066481,9.570335,2.381955
1149.17373701653,4.660995,1.81794,1.513824,2.687073
1153.10589693788,5.316202,8.97258,12.95645,3.061381
1155.56349688873,4.551553,1.199665,1.294176,2.62455
1174.83108050338,2.516598,4.7054,17.63069,1.462015
1243.15235913695,2.691974,4.978553,4.434144,1.562205
1587.51126424977,2.735025,5.22016,8.5872,1.586799
1784.21756431565,3.012352,6.569939,13.9033,1.745231
2025.45557549089,2.780432,5.717306,18.08602,1.612739
2467.82356664353,3.078709,6.008834,7.756992,1.783139
2989.12966821741,3.822691,6.985983,10.40141,2.208164
2992.17709215646,3.458724,1.222057,1.919808,2.000236
3075.73549048529,3.437128,1.132323,1.728768,1.987898
3079.07782641844,3.553274,5.274666,11.61043,2.05425
3145.72793708544,3.998097,7.144772,8.72832,2.30837
3168.14124863717,2.530885,3.366797,4.367808,1.470177
4914.02025371959,3.304565,1.111526,3.287808,1.912167
4919.03375761932,4.132871,8.154951,34.96281,2.385364
5563.41646473167,3.029316,4.418425,4.58112,1.754922
5609.71764780565,5.386353,8.958655,17.63558,3.101457
5690.03201419936,4.54888,6.647844,16.58265,2.623023
5696.5200780696,3.343473,1.018168,1.506048,1.934395
5703.79457392411,3.888272,3.416618,5.596032,2.245629
5711.16737377665,3.56247,2.071367,1.825152,2.059504
5797.47828405043,4.311747,6.12843,5.388288,2.487553
5808.19341983613,2.936553,3.118702,4.032384,1.701929
5885.85357828293,3.616377,6.017625,2.001024,2.0903
5893.91450612171,2.891877,1.26057,1.045632,1.676406
5896.76532206469,3.169046,4.608586,5.097216,1.834748
5980.42202439156,2.650123,4.771529,2.73024,1.538296
6130.53222938936,2.845292,2.500025,4.194432,1.649792
6154.22349291553,2.958793,5.732642,35.46893,1.714634
6276.51366646973,7.368193,11.90625,17.09875,4.233648
6593.05254013895,4.04254,5.989877,7.365888,2.333759
6691.4548421709,3.059346,4.865725,11.08685,1.772078
