state,ach_mean,ach_median,ach_iqr,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_n
WAKE,1.812346,1.901004,2.099219,158055,1.709328,1.865562,1.993785,158055
NREM,-0.02774216,0.1529176,1.503737,152892,-0.01309002,0.1502609,1.468818,152892
REM,-1.006511,-0.9658196,1.535784,36138,-0.8515733,-0.8885928,1.391372,36138
