bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
47,0,WAKE,8063,47,8062,47,-8015,0.2786853,0.2786853,0,0,1,-0.6553803,-0.6553803,0,0,1,NaN,,0
48,1,NREM,8074,48,8073,48,-8025,3.118545,3.118545,0,0,1,-0.5550292,-0.5550292,0,0,1,NaN,,0
49,0,WAKE,8204,49,8203,49,-8154,-2.674237,-2.674237,0,0,1,-1.503623,-1.503623,0,0,1,NaN,,0
50,1,NREM,8207,50,8206,50,-8156,-2.006955,-2.006955,0,0,1,-1.523954,-1.523954,0,0,1,NaN,,0
51,2,REM,8218,51,8217,51,-8166,-1.456619,-1.456619,0,0,1,-1.528114,-1.528114,0,0,1,NaN,,0
52,0,WAKE,8274,52,8273,52,-8221,2.57247,2.57247,0,0,1,-0.2738078,-0.2738078,0,0,1,NaN,,0
53,1,NREM,8380,53,8379,53,-8326,3.875105,3.875105,0,0,1,0.4676527,0.4676527,0,0,1,NaN,,0
54,0,WAKE,8542,54,8541,54,-8487,2.000353,2.000353,0,0,1,-1.186817,-1.186817,0,0,1,NaN,,0
55,1,NREM,8547,55,8546,55,-8491,2.169517,2.169517,0,0,1,-1.118691,-1.118691,0,0,1,NaN,,0
56,0,WAKE,8595,56,8594,56,-8538,0.3324018,0.3324018,0,0,1,-1.041618,-1.041618,0,0,1,NaN,,0
57,1,NREM,8598,57,8597,57,-8540,0.6441181,0.6441181,0,0,1,-1.052019,-1.052019,0,0,1,NaN,,0
58,2,REM,8713,58,8712,58,-8654,-2.584828,-2.584828,0,0,1,-2.547179,-2.547179,0,0,1,NaN,,0
59,0,WAKE,8806,59,8805,59,-8746,-2.148736,-2.148736,0,0,1,-3.710396,-3.710396,0,0,1,NaN,,0
60,1,NREM,8828,60,8827,60,-8767,-3.450893,-3.450893,0,0,1,-2.71282,-2.71282,0,0,1,NaN,,0
61,0,WAKE,9036,61,9035,61,-8974,0.7219055,0.7219055,0,0,1,-2.404889,-2.404889,0,0,1,NaN,,0
62,1,NREM,9039,62,9038,62,-8976,2.653776,2.653776,0,0,1,-2.444148,-2.444148,0,0,1,NaN,,0
63,0,WAKE,9085,63,9084,63,-9021,-3.877305,-3.877305,0,0,1,-2.7398,-2.7398,0,0,1,NaN,,0
64,1,NREM,9088,64,9087,64,-9023,-2.112195,-2.112195,0,0,1,-2.701548,-2.701548,0,0,1,NaN,,0
65,2,REM,9285,65,9284,65,-9219,-2.361324,-2.361324,0,0,1,-2.331665,-2.331665,0,0,1,NaN,,0
