mouse,geno,cond,dur_s,start_s,src_file
mouse?,GENO?,unknown,97,4406,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,12,4478,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,37,4507,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,140,4510,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,59,4515,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,30,4571,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,41,4575,20251022_drugs_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,36,4593,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,90,4617,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,44,4692,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,260,4701,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,42,4756,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,142,4773,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,49,4854,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,55,4890,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,75,4922,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,157,4938,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,89,4943,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,43,5042,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,45,5197,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,59,5200,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,112,5204,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,93,5249,20251022_drugs_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,42,5252,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,96,5283,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,64,5324,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,32,5385,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,52,5405,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,70,5511,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,122,5581,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,65,5587,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,34,5606,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,34,5622,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,48,5660,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,80,5705,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,173,5721,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,220,5745,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv
