APP,WT
12,57
34,149
37,101
24,87
22,113
29,44
26,72
50,57
33,49
90,106
79,26
7,120
13,38
118,74
36,84
54,191
56,118
55,111
115,49
20,68
67,64
92,56
20,33
54,87
6,19
26,36
44,48
40,73
91,96
41,21
51,63
52,103
18,56
36,127
29,26
38,208
30,43
38,76
114,58
16,34
40,118
115,126
57,52
31,46
46,98
45,78
60,84
72,77
61,98
57,42
102,36
14,112
38,47
28,73
33,56
40,131
14,69
25,57
9,383
25,125
45,50
46,180
8,8
41,16
5,61
31,66
17,30
41,22
84,93
11,51
86,52
30,95
42,46
27,25
24,12
20,61
39,24
59,38
45,54
46,21
70,50
91,28
25,9
34,37
21,8
42,6
11,4
3,43
19,30
13,9
7,36
7,63
18,27
23,35
39,44
41,9
15,32
16,12
68,44
15,43
36,10
14,13
25,62
20,41
89,68
70,85
53,27
32,27
17,145
19,53
127,63
35,20
23,33
106,28
12,42
58,63
18,60
32,36
18,43
63,40
19,9
13,27
13,61
16,19
71,66
9,53
43,39
22,58
43,87
43,17
27,44
52,48
7,39
21,28
23,90
7,57
42,81
75,54
45,15
102,36
23,93
100,61
13,14
65,26
48,35
57,63
22,37
77,58
59,82
62,8
42,66
64,64
24,148
24,57
52,40
18,61
48,131
54,63
103,132
115,40
27,27
29,25
31,15
64,35
44,28
7,59
35,55
14,44
15,92
19,49
39,47
40,43
29,68
24,28
58,36
25,114
26,72
22,44
63,32
28,56
54,37
19,42
39,35
69,52
76,86
127,30
23,34
14,37
68,31
83,40
154,80
83,7
51,60
64,44
26,22
56,50
27,42
67,63
27,55
32,44
53,45
28,22
51,87
32,48
71,38
68,74
42,105
69,88
21,45
24,52
71,99
19,48
14,93
37,112
87,80
64,69
30,30
76,67
127,61
20,69
17,33
99,58
59,34
64,133
183,36
67,46
54,79
128,149
63,19
136,102
12,45
22,40
32,71
54,105
68,19
120,15
19,80
36,53
52,49
32,34
131,60
67,80
65,34
61,67
43,152
47,71
66,33
31,30
52,182
30,38
64,18
38,49
22,20
89,114
17,627
22,231
30,140
32,193
32,104
22,245
38,322
45,406
83,71
104,899
90,445
88,292
59,24
45,194
31,107
49,175
16,82
42,208
38,59
56,198
52,226
47,142
19,45
91,165
30,81
68,342
17,127
70,132
26,427
13,36
56,457
16,68
26,596
26,102
55,117
29,458
76,193
35,364
44,45
71,129
82,185
72,166
44,335
55,111
57,388
59,76
188,451
25,170
20,335
41,105
67,286
199,325
68,204
67,200
37,177
21,84
40,61
54,70
67,495
19,217
27,203
7,106
29,150
97,154
17,403
59,122
30,124
30,515
40,427
13,40
23,36
38,560
13,75
48,465
18,129
16,53
19,NaN
39,NaN
