t_s,type
3504.73413790532,mean
7590.83812018324,mean
9297.98535004029,mean
13449.0682750186,mean
14802.6160239477,mean
18055.6919268862,mean
19657.5555748489,mean
23144.300081114,mean
25070.4686185906,mean
26891.648486167,mean
31875.4645784907,mean
33808.3177878336,mean
