state,ach_mean,ach_median,ach_iqr,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_n
WAKE,-2.228405,-2.496306,5.885375,134636,-2.392579,-2.422496,5.343143,134636
NREM,-1.396115,-1.37112,6.359493,136377,-1.48812,-1.717912,5.598794,136377
REM,-1.192802,0.06169417,5.87861,22113,-1.247986,0.5830319,5.224696,22113
