hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,8,23,6,1244,1853,396
1,3600,6,31,3,1165,1972,283
2,7200,6,27,4,1156,2011,261
3,10800,7,22,2,1819,1501,195
4,14400,8,34,7,1034,1898,525
5,18000,8,31,2,1670,1715,96
6,21600,6,44,7,1040,1789,563
7,25200,7,34,5,968,2048,404
8,28800,5,17,3,670,1059,384
