Hour,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0,43,31,0,25,23,52,32,31
1,30,75,8,19,44,46,36,9
2,41,49,25,6,31,61,32,9
3,31,65,3,21,21,66,26,2
4,34,83,12,12,25,44,30,9
5,37,23,18,24,34,37,26,49
6,17,51,15,28,18,5,43,32
7,27,53,15,9,5,NaN,23,42
8,7,17,0,12,0,NaN,15,20
9,2,NaN,NaN,NaN,NaN,NaN,NaN,16
