Hour;APP_mouse1;APP_mouse10;WT_mouse11;WT_mouse12;WT_mouse2;APP_mouse3;WT_mouse4;WT_mouse8
0;17;16;21;2;4;59;32;27
1;44;58;43;8;28;59;32;50
2;51;37;40;16;16;40;28;31
3;36;75;39;9;28;42;22;47
4;42;83;36;12;54;38;41;44
5;41;54;27;7;40;22;32;39
6;19;64;0;9;26;43;44;43
7;33;30;NaN;8;22;42;33;23
8;30;39;NaN;5;9;0;23;28
9;NaN;16;NaN;NaN;NaN;NaN;NaN;NaN
