Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0_3h,247.894736842105,282.894736842105,220.842105263158,441.222222222222,318.904761904762,109.592592592593,192.315789473684,184.347826086957
3_6h,121.739130434783,179.529411764706,164.047619047619,485.4,100.047619047619,113.24,156.666666666667,44.7692307692308
washout,207.473684210526,240.0625,NaN,426.7,147.681818181818,77.6666666666667,177.357142857143,190.214285714286
