hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,4,28,4,1632,1635,234
1,3600,5,38,3,1290,1903,235
2,7200,7,34,5,817,2246,420
3,10800,4,15,2,2272,980,295
4,14400,6,28,4,1398,1769,325
5,18000,3,29,4,1625,1662,178
6,21600,4,29,6,935,2005,530
7,25200,4,25,3,1135,1848,476
8,28800,4,13,1,338,1043,86
