Phase;APP_mouse1;APP_mouse10;WT_mouse11;WT_mouse12;WT_mouse2;APP_mouse3;WT_mouse4
0_3h;377.5;207.952380952381;311.047619047619;240.263157894737;202;255.869565217391;958.625
3_6h;185.4375;105.166666666667;100.193548387097;81.9130434782609;275.375;157.384615384615;154.478260869565
washout;114.533333333333;147.625;84.3809523809524;306.928571428571;200.666666666667;47.2631578947368;70
