hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,7,20,1,13,1963,1412,145,80
1,3600,9,20,1,11,2049,1338,158,55
2,7200,5,18,0,14,2520,971,0,109
3,10800,14,36,5,22,942,2002,476,180
4,14400,10,30,3,21,1348,1656,447,149
5,18000,7,37,4,29,816,2357,191,236
6,21600,15,36,7,21,1270,1667,527,136
7,25200,6,17,3,12,502,718,277,74
