Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4
0_3h,85.4285714285714,63.1111111111111,151.5,107.5,74.0833333333333,69.5,87
3_6h,94.9230769230769,143.2,92.8333333333333,118.733333333333,102.625,99.7272727272727,108.272727272727
washout,138.615384615385,128,80.4,102,143.444444444444,81.7777777777778,87.3333333333333
