hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,7,84,1,77,1740,1657,9,194
1,3600,12,58,3,47,1289,1881,272,158
2,7200,4,10,2,6,2856,578,136,30
3,10800,8,28,1,20,1677,1645,146,132
4,14400,7,29,4,21,1336,1776,298,190
5,18000,11,22,6,12,1079,1765,653,103
6,21600,14,33,7,18,685,2119,625,171
7,25200,5,10,2,6,213,702,111,53
