hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,4,3,0,2765,835,0
1,3600,6,15,1,2109,1406,34
2,7200,11,35,5,955,2144,323
3,10800,6,10,1,2225,1273,72
4,14400,8,19,5,741,2267,489
5,18000,9,27,5,798,2292,366
6,21600,11,26,4,1061,2023,386
7,25200,11,26,6,916,2024,515
8,28800,0,0,0,2042,0,0
