hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,7,21,3,13,1641,1685,206,68
1,3600,7,43,2,36,1630,1715,134,121
2,7200,5,40,6,36,925,1897,596,182
3,10800,5,39,3,33,1163,2098,201,138
4,14400,10,36,5,26,845,2108,542,105
5,18000,6,27,4,22,1437,1806,269,88
6,21600,0,0,0,0,667,0,0,0
