hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,6,30,0,23,1734,1720,0,146
1,3600,11,54,5,44,508,2582,276,234
2,7200,6,38,2,31,1335,1760,343,162
3,10800,11,31,4,21,1330,1820,332,118
4,14400,11,36,4,25,890,2040,501,169
5,18000,6,41,9,34,515,2030,827,228
6,21600,10,28,3,18,1826,1283,376,115
7,25200,8,12,2,5,2117,1240,203,40
8,28800,0,0,0,0,529,0,0,0
