Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0_3h,72.0555555555556,139.464285714286,277.571428571429,173.958333333333,155.521739130435,102.9,135.190476190476,100
3_6h,103.914285714286,147.085714285714,138.794117647059,354.052631578947,119.705882352941,127.428571428571,135.703703703704,136.552631578947
washout,215.275862068966,115.64,182.681818181818,141.458333333333,248.444444444444,290,253.058823529412,190.16
