Hour;APP_mouse1;APP_mouse10;WT_mouse11;WT_mouse12;WT_mouse2;APP_mouse3;WT_mouse4;WT_mouse8
0;11;9;13;0;3;47;25;23
1;38;48;36;4;15;51;25;41
2;44;34;36;13;10;32;23;22
3;29;69;33;8;21;35;16;41
4;34;77;26;9;46;28;32;35
5;34;49;22;7;33;14;23;28
6;7;60;0;5;17;34;40;40
7;27;27;NaN;5;14;34;28;17
8;29;33;NaN;2;5;0;19;23
9;NaN;14;NaN;NaN;NaN;NaN;NaN;NaN
