mouse,genotype,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
mouse1,APP,4,6,7,7,1,4,4,7,4,1
mouse10,APP,3,5,4,10,6,4,3,6,3,NaN
mouse11,WT,0,1,5,1,5,5,4,6,0,NaN
mouse12,WT,5,6,0,5,1,5,6,3,3,NaN
mouse2,WT,0,5,2,4,4,9,3,2,0,NaN
mouse3,APP,8,4,7,6,5,4,1,NaN,NaN,NaN
mouse4,WT,3,4,6,4,6,6,3,5,2,NaN
mouse8,WT,4,2,2,0,3,6,4,5,5,3
