Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0_3h,4.5640826471959,6.78637345376006,1.1078677309008,1.29986714746631,3.08083140877598,5.31717104163183,2.77103099304238,1.302462090331
3_6h,4.06373316630128,9.95123916985694,0.671810699588477,1.77991581479254,2.45415959252971,4.67396798652064,2.15789473684211,2.89120598072005
washout,1.56628303495311,5.51837077472181,1.01927353595256,1.57733007733008,0.899722552516845,0.177514792899408,2.88637859179645,2.99146578829166
