State,Mean_WT,SEM_WT,nWT,Mean_APP,SEM_APP,nAPP
WK,33.5506405974598,2.35294506090053,5,32.3756521253037,3.7168534036643,3
MA,3.28549959850602,0.640311648073278,5,4.78658647260916,0.23732219149477,3
NREM,51.4854163598,1.53946827529847,5,49.4347128182941,2.53921615390885,3
REM,11.6784434442342,1.36659926289951,5,13.4030485837931,1.36064915608564,3
SLEEP,63.1638598040342,2.05538649752175,5,62.8377614020872,3.89949162220087,3
