hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,7,32,9,25,1530,1231,722,117
1,3600,7,32,3,25,1116,1850,467,167
2,7200,5,28,4,23,1008,1933,486,173
3,10800,7,22,2,16,1799,1515,195,91
4,14400,8,41,6,32,465,2220,758,157
5,18000,9,32,4,23,1496,1673,311,120
6,21600,4,44,6,40,993,1698,696,213
7,25200,5,33,6,28,875,1737,805,183
8,28800,5,23,2,19,615,1076,407,95
