mouse,genotype,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
mouse1,APP,1,4,3,7,5,9,6,4,4,NaN
mouse10,APP,0,3,4,5,5,3,9,2,7,4
mouse11,WT,3,2,6,3,5,4,0,NaN,NaN,NaN
mouse12,WT,1,4,4,2,4,4,2,2,2,NaN
mouse2,WT,0,6,4,5,4,6,7,4,3,NaN
mouse3,APP,4,5,3,7,4,4,6,5,0,NaN
mouse4,WT,9,3,4,2,6,4,6,6,2,NaN
mouse8,WT,3,4,3,6,6,6,5,3,3,NaN
