Hour;APP_mouse1;APP_mouse10;WT_mouse11;WT_mouse12;WT_mouse2;APP_mouse3;WT_mouse4;WT_mouse8
0;7;6;7;2;1;11;7;5
1;5;10;7;5;14;9;7;10
2;7;3;5;2;6;7;5;8
3;8;7;5;1;6;8;7;6
4;8;5;10;2;8;9;8;9
5;7;5;6;2;7;8;9;11
6;11;5;0;4;10;9;4;4
7;7;2;NaN;2;8;9;5;6
8;1;6;NaN;4;4;0;5;4
9;NaN;3;NaN;NaN;NaN;NaN;NaN;NaN
