Hour,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0,4,3,0,5,0,8,3,4
1,6,5,1,6,5,4,4,2
2,7,4,5,0,2,7,6,2
3,7,10,1,5,4,6,4,0
4,1,6,5,1,4,5,6,3
5,4,4,5,5,9,4,6,6
6,4,3,4,6,3,1,3,4
7,7,6,6,3,2,NaN,5,5
8,4,3,0,3,0,NaN,2,5
9,1,NaN,NaN,NaN,NaN,NaN,NaN,3
