Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0_3h,59.5294117647059,100.583333333333,59.5,92.6363636363636,88.4285714285714,60.7368421052632,85.6923076923077,85.375
3_6h,67.4210526315789,74.2916666666667,78.125,108.909090909091,105.421052631579,80.1363636363636,87.3181818181818,129
washout,73,95.25,90.1,101.083333333333,115.8,46,112.1,122
