Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0_3h,6.03225806451613,4.58241758241758,4.36470588235294,6.11764705882353,5.60714285714286,4.4,6.26027397260274,4.5
3_6h,5.51546391752577,3.55897435897436,4.08641975308642,7.125,4.74,4.51948051948052,5.1830985915493,5.92307692307692
washout,6.22222222222222,5.02985074626866,NaN,7.16666666666667,8.05555555555556,5.20588235294118,5.64367816091954,6.7625
