State,mouse1,mouse10,mouse11,mouse12,mouse2,mouse3,mouse4,mouse8
WK,39.6666666666667,39.9444444444444,24.0740740740741,36.5740740740741,29.9166666666667,43.3098197290337,17.0740740740741,30.8703703703704
MA,6.16666666666667,6.02777777777778,3.49074074074074,4.17592592592593,4.74074074074074,3.49344978165939,5.17592592592593,4.87962962962963
NREM,48.462962962963,43.0740740740741,60.9444444444444,47.8240740740741,49.5648148148148,44.1943791288769,60.8796296296296,49.5555555555556
REM,5.7037037037037,10.9537037037037,11.4907407407407,11.4259259259259,15.7777777777778,9.00235136042996,16.8703703703704,14.6944444444444
SLEEP,54.1666666666667,54.0277777777778,72.4351851851852,59.25,65.3425925925926,53.1967304893069,77.75,64.25
