hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,7,21,3,1641,1685,206
1,3600,7,43,2,1630,1715,134
2,7200,5,40,6,925,1897,596
3,10800,5,39,3,1163,2098,201
4,14400,10,36,5,845,2108,542
5,18000,6,27,4,1437,1806,269
6,21600,0,0,0,667,0,0
