hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,1,4,0,3320,252,0
1,3600,8,29,5,884,2014,533
2,7200,10,30,5,361,2504,542
3,10800,6,11,1,2310,1117,121
4,14400,5,19,3,931,2127,406
5,18000,9,26,5,313,2574,547
6,21600,5,20,5,1435,1677,396
7,25200,6,17,4,1273,1906,314
8,28800,2,7,2,1536,981,271
