hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,10,33,8,988,2013,508
1,3600,2,32,3,2275,1129,138
2,7200,2,23,1,2717,802,36
3,10800,3,54,6,239,2642,555
4,14400,3,40,5,923,2150,423
5,18000,7,14,3,2237,1116,214
6,21600,2,5,1,1387,297,33
