Hour;APP_mouse1;APP_mouse10;WT_mouse11;WT_mouse12;WT_mouse2;APP_mouse3;WT_mouse4;WT_mouse8
0;1;0;3;1;0;4;9;3
1;4;3;2;4;6;5;3;4
2;3;4;6;4;4;3;4;3
3;7;5;3;2;5;7;2;6
4;5;5;5;4;4;4;6;6
5;9;3;4;4;6;4;4;6
6;6;9;0;2;7;6;6;5
7;4;2;NaN;2;4;5;6;3
8;4;7;NaN;2;3;0;2;3
9;NaN;4;NaN;NaN;NaN;NaN;NaN;NaN
