Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0_3h,42.375,56.7142857142857,85.0909090909091,113.444444444444,65.1,81,104.6875,94.5
3_6h,101.571428571429,120.307692307692,84.3333333333333,129.5,77.8,149.333333333333,105.333333333333,113.888888888889
washout,97.3571428571429,96.2727272727273,NaN,145.166666666667,82.7142857142857,130.363636363636,136.285714285714,135.818181818182
