mouse,genotype,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
mouse1,APP,43,30,41,31,34,37,17,27,7,2
mouse10,APP,31,75,49,65,83,23,51,53,17,NaN
mouse11,WT,0,8,25,3,12,18,15,15,0,NaN
mouse12,WT,25,19,6,21,12,24,28,9,12,NaN
mouse2,WT,23,44,31,21,25,34,18,5,0,NaN
mouse3,APP,52,46,61,66,44,37,5,NaN,NaN,NaN
mouse4,WT,32,36,32,26,30,26,43,23,15,NaN
mouse8,WT,31,9,9,2,9,49,32,42,20,16
