Hour;APP_mouse1;APP_mouse10;WT_mouse11;WT_mouse12;WT_mouse2;APP_mouse3;WT_mouse4
0;0;10;13;3;25;77;0
1;8;25;11;21;32;47;17
2;17;17;14;20;28;6;11
3;9;30;22;19;17;20;24
4;21;47;21;21;23;21;31
5;29;32;29;31;24;12;23
6;44;39;21;19;23;18;33
7;29;25;12;14;21;6;NaN
8;9;4;NaN;5;10;NaN;NaN
