,WT,WT,WT,WT,WT,APP,APP,APP
State,mouse11,mouse12,mouse2,mouse4,mouse8,mouse1,mouse10,mouse3
WK,207.7,444.375,188.234375,173.631578947368,128.047619047619,187.737704918033,235.923076923077,102.685714285714
MA,4.2289156626506,6.81132075471698,5.61585365853659,5.6969696969697,5.71851851851852,5.88142292490119,4.25,4.63272727272727
NREM,54.8980582524272,227.328947368421,65.6299559471366,52.0313588850174,52.5150602409639,47.3993610223642,33.8728813559322,45.5333333333333
REM,84.695652173913,127.48,76.3076923076923,115.404761904762,115.102564102564,89.1860465116279,97.1190476190476,122.263157894737
