hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,15,66,8,52,780,2160,496,164
1,3600,3,50,4,46,1723,1503,242,132
2,7200,12,73,7,61,584,2318,416,282
3,10800,4,70,6,66,276,2495,589,240
4,14400,4,48,5,44,812,2219,423,146
5,18000,8,45,4,37,1896,1221,335,148
6,21600,4,8,1,5,1160,507,46,18
