hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,8,39,4,31,1059,2184,151,206
1,3600,13,21,2,9,1484,1724,310,82
2,7200,15,23,2,9,1057,2225,222,96
3,10800,5,8,0,2,2158,1414,0,28
4,14400,9,18,3,9,1687,1416,422,75
5,18000,9,57,6,49,287,2253,775,285
6,21600,5,38,4,32,1360,1683,390,167
7,25200,4,45,5,42,1093,1696,601,210
8,28800,7,28,5,20,797,1900,725,178
9,32400,9,24,3,16,1504,1400,358,141
