hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,7,17,0,2346,1176,0
1,3600,9,34,4,546,2678,160
2,7200,6,22,4,1484,1562,398
3,10800,9,37,3,858,2229,336
4,14400,10,56,4,642,2319,372
5,18000,7,41,5,1317,1598,497
6,21600,6,44,6,319,2241,793
7,25200,8,33,5,1305,1674,478
8,28800,2,6,1,739,437,85
