hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,7,17,0,10,2346,1176,0,78
1,3600,9,34,4,25,546,2678,160,216
2,7200,5,22,5,17,1475,1561,408,156
3,10800,8,37,4,30,581,2268,549,202
4,14400,10,56,2,47,642,2359,332,267
5,18000,6,39,4,32,1301,1564,551,184
6,21600,6,44,6,39,319,2241,793,247
7,25200,8,33,3,25,1304,1751,402,143
8,28800,2,6,1,4,739,437,85,34
