hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,1,4,0,3,3118,465,0,17
1,3600,14,28,6,15,1391,1834,289,86
2,7200,6,16,4,10,2188,996,362,54
3,10800,6,28,5,21,1280,1883,337,100
4,14400,8,54,4,46,354,2606,437,203
5,18000,7,40,6,33,467,2569,393,171
6,21600,10,26,7,17,520,2311,634,135
7,25200,8,22,4,14,1675,1521,300,104
8,28800,4,9,3,5,1054,713,224,51
