Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4,WT_mouse8
0_3h,6.64035087719298,3.83870967741935,6.93939393939394,6.74,5.53061224489796,3.63522012578616,5.23,7.83673469387755
3_6h,7.18181818181818,4.22272727272727,7.8448275862069,7.50793650793651,6.0990990990991,3.92307692307692,5.56140350877193,7.01449275362319
washout,7.11320754716981,4.92561983471074,9.16666666666667,8.42857142857143,6.73913043478261,3.6,4.65432098765432,6.32727272727273
