hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,1,4,0,3118,465,0
1,3600,14,28,6,1391,1834,289
2,7200,6,16,4,2188,996,362
3,10800,6,28,5,1280,1883,337
4,14400,8,54,4,354,2606,437
5,18000,7,40,6,467,2569,393
6,21600,10,26,7,520,2311,634
7,25200,8,22,4,1675,1521,300
8,28800,4,9,3,1054,713,224
