state_code,start_s,end_s,dur_s
1,0,5,6
15,6,10,5
1,11,58,48
0,59,275,217
1,276,284,9
15,285,289,5
1,290,370,81
15,371,374,4
1,375,408,34
15,409,419,11
1,420,469,50
0,470,839,370
1,840,929,90
15,930,942,13
1,943,1032,90
15,1033,1037,5
1,1038,1128,91
15,1129,1138,10
1,1139,1190,52
15,1191,1197,7
1,1198,1249,52
15,1250,1253,4
1,1254,1302,49
15,1303,1307,5
1,1308,1346,39
0,1347,1763,417
1,1764,1857,94
15,1858,1861,4
1,1862,1876,15
15,1877,1883,7
1,1884,1927,44
15,1928,1936,9
1,1937,2056,120
0,2057,2152,96
1,2153,2193,41
15,2194,2198,5
1,2199,2246,48
15,2247,2250,4
1,2251,2298,48
15,2299,2305,7
1,2306,2396,91
15,2397,2401,5
1,2402,2434,33
15,2435,2439,5
1,2440,2513,74
15,2514,2520,7
1,2521,2545,25
15,2546,2554,9
1,2555,2573,19
0,2574,3098,525
1,3099,3115,17
15,3116,3120,5
1,3121,3220,100
15,3221,3225,5
1,3226,3393,168
15,3394,3398,5
1,3399,3463,65
0,3464,3572,109
1,3573,3609,37
15,3610,3614,5
1,3615,3706,92
15,3707,3710,4
1,3711,3771,61
15,3772,3773,2
1,3774,3811,38
15,3812,3818,7
1,3819,3851,33
15,3852,3857,6
1,3858,3941,84
0,3942,3985,44
1,3986,4059,74
15,4060,4064,5
1,4065,4086,22
15,4087,4090,4
1,4091,4145,55
0,4146,4179,34
1,4180,4285,106
15,4286,4300,15
1,4301,4331,31
15,4332,4337,6
1,4338,4351,14
15,4352,4356,5
1,4357,4405,49
15,4406,4410,5
1,4411,4477,67
2,4478,4489,12
0,4490,4523,34
1,4524,4600,77
15,4601,4613,13
1,4614,4648,35
15,4649,4652,4
1,4653,4755,103
2,4756,4797,42
0,4798,4821,24
1,4822,4879,58
15,4880,4883,4
1,4884,4908,25
15,4909,4913,5
1,4914,4964,51
0,4965,5016,52
1,5017,5095,79
15,5096,5100,5
1,5101,5107,7
15,5108,5112,5
1,5113,5152,40
15,5153,5159,7
1,5160,5199,40
2,5200,5258,59
0,5259,5325,67
1,5326,5344,19
15,5345,5350,6
1,5351,5379,29
15,5380,5384,5
1,5385,5442,58
15,5443,5448,6
1,5449,5479,31
15,5480,5486,7
1,5487,5580,94
2,5581,5702,122
0,5703,5725,23
1,5726,5735,10
15,5736,5739,4
1,5740,5759,20
15,5760,5764,5
1,5765,5783,19
15,5784,5787,4
1,5788,5815,28
0,5816,5835,20
1,5836,5885,50
15,5886,5889,4
1,5890,5939,50
15,5940,5943,4
1,5944,5988,45
15,5989,5993,5
1,5994,6055,62
15,6056,6060,5
1,6061,6102,42
15,6103,6106,4
1,6107,6125,19
15,6126,6129,4
1,6130,6170,41
15,6171,6178,8
1,6179,6238,60
15,6239,6242,4
1,6243,6303,61
15,6304,6307,4
1,6308,6333,26
15,6334,6337,4
1,6338,6393,56
2,6394,6434,41
0,6435,6461,27
1,6462,6539,78
15,6540,6542,3
1,6543,6613,71
15,6614,6617,4
1,6618,6668,51
15,6669,6673,5
1,6674,6778,105
0,6779,6798,20
1,6799,6831,33
15,6832,6836,5
1,6837,6864,28
15,6865,6869,5
1,6870,6888,19
15,6889,6897,9
1,6898,6925,28
15,6926,6928,3
1,6929,6964,36
15,6965,6970,6
1,6971,7011,41
15,7012,7015,4
1,7016,7036,21
0,7037,7288,252
1,7289,7323,35
15,7324,7326,3
1,7327,7372,46
15,7373,7375,3
1,7376,7392,17
15,7393,7395,3
1,7396,7411,16
0,7412,7913,502
1,7914,7934,21
15,7935,7938,4
1,7939,7974,36
15,7975,7978,4
1,7979,8067,89
15,8068,8072,5
1,8073,8127,55
15,8128,8138,11
1,8139,8158,20
15,8159,8161,3
1,8162,8189,28
15,8190,8197,8
1,8198,8226,29
0,8227,8259,33
1,8260,8304,45
15,8305,8309,5
1,8310,8355,46
15,8356,8358,3
1,8359,8410,52
15,8411,8416,6
1,8417,8424,8
0,8425,8656,232
1,8657,8695,39
15,8696,8699,4
1,8700,8722,23
15,8723,8725,3
1,8726,8828,103
15,8829,8833,5
1,8834,8847,14
15,8848,8851,4
1,8852,8890,39
15,8891,8895,5
1,8896,8914,19
15,8915,8918,4
1,8919,8967,49
15,8968,8970,3
1,8971,9067,97
2,9068,9159,92
0,9160,9179,20
1,9180,9221,42
15,9222,9231,10
1,9232,9369,138
15,9370,9374,5
1,9375,9384,10
15,9385,9389,5
1,9390,9432,43
15,9433,9445,13
1,9446,9560,115
2,9561,9811,251
0,9812,10250,439
1,10251,10374,124
15,10375,10377,3
1,10378,10406,29
0,10407,10426,20
1,10427,10449,23
15,10450,10453,4
1,10454,10496,43
15,10497,10502,6
1,10503,10546,44
15,10547,10549,3
1,10550,10568,19
15,10569,10573,5
1,10574,10606,33
15,10607,10610,4
1,10611,10652,42
15,10653,10657,5
1,10658,10733,76
15,10734,10746,13
1,10747,10853,107
0,10854,10893,40
1,10894,10924,31
15,10925,10931,7
1,10932,10986,55
15,10987,10989,3
1,10990,11006,17
15,11007,11011,5
1,11012,11056,45
15,11057,11064,8
1,11065,11122,58
15,11123,11128,6
1,11129,11154,26
15,11155,11157,3
1,11158,11214,57
15,11215,11221,7
1,11222,11281,60
2,11282,11320,39
15,11321,11335,15
1,11336,11352,17
15,11353,11357,5
1,11358,11428,71
15,11429,11433,5
1,11434,11485,52
2,11486,11532,47
0,11533,11548,16
1,11549,11582,34
15,11583,11586,4
1,11587,11643,57
2,11644,11746,103
0,11747,11764,18
1,11765,11827,63
15,11828,11833,6
1,11834,11852,19
0,11853,11888,36
1,11889,12035,147
15,12036,12038,3
1,12039,12097,59
0,12098,12129,32
1,12130,12217,88
0,12218,12240,23
1,12241,12311,71
15,12312,12315,4
1,12316,12340,25
15,12341,12344,4
1,12345,12383,39
2,12384,12526,143
0,12527,12859,333
1,12860,12906,47
0,12907,13348,442
1,13349,13432,84
0,13433,13778,346
1,13779,13841,63
15,13842,13844,3
1,13845,13891,47
15,13892,13897,6
1,13898,14019,122
15,14020,14030,11
1,14031,14116,86
0,14117,14156,40
1,14157,14221,65
15,14222,14226,5
1,14227,14261,35
15,14262,14264,3
1,14265,14325,61
15,14326,14330,5
1,14331,14395,65
0,14396,14496,101
1,14497,14574,78
0,14575,14774,200
1,14775,14835,61
15,14836,14844,9
1,14845,14886,42
15,14887,14890,4
1,14891,15001,111
15,15002,15010,9
1,15011,15050,40
15,15051,15064,14
1,15065,15117,53
15,15118,15122,5
1,15123,15161,39
0,15162,15248,87
1,15249,15272,24
15,15273,15276,4
1,15277,15369,93
2,15370,15512,143
0,15513,15628,116
1,15629,15660,32
15,15661,15665,5
1,15666,15687,22
15,15688,15695,8
1,15696,15715,20
15,15716,15721,6
1,15722,15774,53
0,15775,15805,31
1,15806,15915,110
0,15916,15934,19
1,15935,16033,99
15,16034,16048,15
1,16049,16083,35
15,16084,16087,4
1,16088,16123,36
15,16124,16132,9
1,16133,16190,58
0,16191,16220,30
1,16221,16307,87
15,16308,16312,5
1,16313,16333,21
2,16334,16446,113
0,16447,16580,134
1,16581,16679,99
15,16680,16683,4
1,16684,16728,45
15,16729,16736,8
1,16737,16764,28
15,16765,16769,5
1,16770,16813,44
0,16814,16845,32
1,16846,16921,76
2,16922,17003,82
0,17004,17035,32
1,17036,17128,93
15,17129,17134,6
1,17135,17157,23
15,17158,17168,11
1,17169,17211,43
15,17212,17215,4
1,17216,17311,96
2,17312,17474,163
0,17475,17514,40
1,17515,17537,23
15,17538,17541,4
1,17542,17564,23
0,17565,17636,72
1,17637,17716,80
15,17717,17727,11
1,17728,17788,61
15,17789,17792,4
1,17793,17858,66
15,17859,17864,6
1,17865,17936,72
15,17937,17940,4
1,17941,17994,54
15,17995,18000,6
1,18001,18021,21
2,18022,18175,154
0,18176,18475,300
1,18476,18517,42
15,18518,18522,5
1,18523,18553,31
15,18554,18556,3
1,18557,18571,15
15,18572,18575,4
1,18576,18642,67
15,18643,18646,4
1,18647,18694,48
15,18695,18698,4
1,18699,18766,68
15,18767,18775,9
1,18776,18803,28
15,18804,18807,4
1,18808,18859,52
2,18860,18898,39
0,18899,18967,69
1,18968,18992,25
15,18993,19000,8
1,19001,19081,81
15,19082,19085,4
1,19086,19131,46
2,19132,19166,35
15,19167,19179,13
1,19180,19229,50
15,19230,19233,4
1,19234,19327,94
2,19328,19545,218
0,19546,19575,30
1,19576,19597,22
15,19598,19606,9
1,19607,19633,27
15,19634,19636,3
1,19637,19724,88
15,19725,19728,4
1,19729,19776,48
15,19777,19781,5
1,19782,19928,147
15,19929,19933,5
1,19934,20012,79
2,20013,20040,28
0,20041,20067,27
1,20068,20137,70
2,20138,20205,68
0,20206,20262,57
1,20263,20285,23
15,20286,20289,4
1,20290,20319,30
15,20320,20324,5
1,20325,20367,43
15,20368,20372,5
1,20373,20415,43
15,20416,20421,6
1,20422,20454,33
15,20455,20460,6
1,20461,20560,100
15,20561,20571,11
1,20572,20621,50
2,20622,20779,158
0,20780,20811,32
1,20812,20888,77
15,20889,20896,8
1,20897,20935,39
15,20936,20947,12
1,20948,21024,77
15,21025,21036,12
1,21037,21053,17
15,21054,21063,10
1,21064,21121,58
15,21122,21126,5
1,21127,21192,66
15,21193,21202,10
1,21203,21213,11
15,21214,21218,5
1,21219,21272,54
2,21273,21285,13
15,21286,21299,14
1,21300,21333,34
15,21334,21339,6
1,21340,21383,44
15,21384,21395,12
1,21396,21417,22
15,21418,21420,3
1,21421,21455,35
15,21456,21460,5
1,21461,21485,25
2,21486,21643,158
15,21644,21653,10
1,21654,21714,61
15,21715,21720,6
1,21721,21732,12
15,21733,21746,14
1,21747,21815,69
15,21816,21821,6
1,21822,21833,12
15,21834,21842,9
1,21843,21899,57
2,21900,21983,84
0,21984,22747,764
1,22748,22818,71
15,22819,22822,4
1,22823,22851,29
15,22852,22857,6
1,22858,22903,46
0,22904,23696,793
1,23697,23748,52
15,23749,23752,4
1,23753,23813,61
15,23814,23817,4
1,23818,23846,29
15,23847,23849,3
1,23850,23875,26
15,23876,23888,13
1,23889,23935,47
0,23936,23952,17
1,23953,24040,88
15,24041,24048,8
1,24049,24108,60
15,24109,24113,5
1,24114,24215,102
2,24216,24342,127
0,24343,24369,27
1,24370,24402,33
15,24403,24410,8
1,24411,24460,50
0,24461,24481,21
1,24482,24506,25
15,24507,24509,3
1,24510,24544,35
0,24545,24564,20
1,24565,24637,73
15,24638,24642,5
1,24643,24664,22
0,24665,24681,17
1,24682,24775,94
2,24776,24896,121
0,24897,25025,129
1,25026,25047,22
15,25048,25051,4
1,25052,25106,55
0,25107,25123,17
1,25124,25149,26
15,25150,25152,3
1,25153,25172,20
0,25173,25193,21
1,25194,25239,46
0,25240,25256,17
1,25257,25283,27
15,25284,25287,4
1,25288,25331,44
0,25332,25347,16
1,25348,25427,80
0,25428,25447,20
1,25448,25497,50
2,25498,25612,115
0,25613,25647,35
1,25648,25718,71
15,25719,25731,13
1,25732,25797,66
15,25798,25801,4
1,25802,25847,46
15,25848,25862,15
1,25863,25902,40
0,25903,25918,16
1,25919,25970,52
15,25971,25974,4
1,25975,26026,52
0,26027,27959,1933
1,27960,28190,231
0,28191,28230,40
1,28231,28671,441
2,28672,28759,88
0,28760,29328,569
