mouse,genotype,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
mouse1,APP,17,44,51,36,42,41,19,33,30,NaN
mouse10,APP,16,58,37,75,83,54,64,30,39,16
mouse11,WT,21,43,40,39,36,27,0,NaN,NaN,NaN
mouse12,WT,2,8,16,9,12,7,9,8,5,NaN
mouse2,WT,4,28,16,28,54,40,26,22,9,NaN
mouse3,APP,59,59,40,42,38,22,43,42,0,NaN
mouse4,WT,32,32,28,22,41,32,44,33,23,NaN
mouse8,WT,27,50,31,47,44,39,43,23,28,NaN
