hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,3,2,0,0,3098,502,0,0
1,3600,6,14,1,8,1817,1703,34,46
2,7200,5,24,6,17,370,2582,564,84
3,10800,4,13,2,9,1233,2037,242,88
4,14400,7,28,4,21,1024,1914,534,128
5,18000,5,34,7,29,710,2262,458,170
6,21600,6,50,5,44,372,2339,687,202
7,25200,7,36,7,29,851,1794,844,111
8,28800,2,10,1,9,495,724,271,50
