hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,8,40,3,32,1067,2155,221,157
1,3600,4,40,4,36,1069,1878,456,197
2,7200,9,41,6,32,703,2291,437,169
3,10800,6,32,4,26,1720,1523,211,146
4,14400,7,37,6,30,314,2395,736,155
5,18000,5,31,6,26,927,1972,537,164
6,21600,3,46,3,43,603,2208,549,240
7,25200,9,32,5,23,1384,1660,458,98
8,28800,5,19,2,15,2315,691,114,39
