hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,11,59,4,47,641,2557,172,230
1,3600,9,59,5,51,776,2130,518,176
2,7200,7,40,3,32,1542,1610,282,166
3,10800,8,42,7,35,822,1882,794,102
4,14400,9,38,4,28,779,1999,686,136
5,18000,8,22,4,14,1230,1500,760,110
6,21600,9,43,6,34,778,1947,712,163
7,25200,9,42,5,34,603,2084,722,191
8,28800,0,0,0,0,17,0,0,0
