hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,2,1,0,2760,840,0
1,3600,3,5,2,1313,2201,83
2,7200,1,1,0,3299,301,0
3,10800,6,8,4,1279,1826,467
4,14400,6,10,3,1250,1830,486
5,18000,6,19,6,653,2446,367
6,21600,10,15,1,1885,1618,54
7,25200,3,11,3,1695,1478,341
8,28800,1,2,2,731,1748,332
