mouse,genotype,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
mouse1,APP,11,38,44,29,34,34,7,27,29,NaN
mouse10,APP,9,48,34,69,77,49,60,27,33,14
mouse11,WT,13,36,36,33,26,22,0,NaN,NaN,NaN
mouse12,WT,0,4,13,8,9,7,5,5,2,NaN
mouse2,WT,3,15,10,21,46,33,17,14,5,NaN
mouse3,APP,47,51,32,35,28,14,34,34,0,NaN
mouse4,WT,25,25,23,16,32,23,40,28,19,NaN
mouse8,WT,23,41,22,41,35,28,40,17,23,NaN
