hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,7,17,1,11,2256,1235,36,73
1,3600,5,44,4,38,1232,1977,158,233
2,7200,7,51,3,44,1222,1978,145,255
3,10800,8,36,7,29,1345,1368,784,103
4,14400,8,42,5,34,1043,1746,635,176
5,18000,7,41,9,34,412,2218,714,256
6,21600,11,19,6,7,1920,1294,344,42
7,25200,7,33,4,27,1284,1685,439,192
8,28800,1,30,4,29,738,1335,580,158
