state,n_bouts,total_dur_s,mean_bout_dur_s,file,date,condition,mouse,genotype
NREM,227,14898,65.6299559471366,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv,20251013,ambtemp,mouse2,WT
REM,39,2976,76.3076923076923,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv,20251013,ambtemp,mouse2,WT
MA,164,921,5.61585365853659,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv,20251013,ambtemp,mouse2,WT
WK,66,13612,206.242424242424,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT
NREM,161,14264,88.5962732919255,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT
REM,27,2185,80.9259259259259,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT
MA,96,781,8.13541666666667,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv,20251013,baseline,mouse11,WT
WK,40,8308,207.7,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT
NREM,206,11309,54.8980582524272,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT
REM,23,1948,84.695652173913,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT
MA,166,702,4.2289156626506,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv,20251014,ambtemp,mouse11,WT
WK,45,9970,221.555555555556,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP
NREM,211,15857,75.1516587677725,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP
REM,33,3634,110.121212121212,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP
MA,166,879,5.29518072289157,20251022_drugs_mouse1_APP_scored_scores_1Hz.csv,20251022,drugs,mouse1,APP
WK,46,10450,227.173913043478,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT
NREM,248,15845,63.8911290322581,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT
REM,29,3001,103.48275862069,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT
MA,203,1044,5.14285714285714,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv,20251022,drugs,mouse2,WT
WK,39,11782,302.102564102564,20251022_drugs_mouse4_WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT
NREM,178,10435,58.623595505618,20251022_drugs_mouse4_WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT
REM,20,1976,98.8,20251022_drugs_mouse4_WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT
MA,139,956,6.87769784172662,20251022_drugs_mouse4_WT_scored_scores_1Hz.csv,20251022,drugs,mouse4,WT
WK,68,10875,159.926470588235,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP
NREM,274,12123,44.2445255474453,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP
REM,26,2250,86.5384615384615,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP
MA,207,1031,4.98067632850242,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv,20251023,drugs,mouse3,APP
WK,61,9253,151.688524590164,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP
NREM,288,16035,55.6770833333333,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP
REM,29,3280,113.103448275862,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP
MA,229,1527,6.66812227074236,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv,20251024,drugs,mouse10,APP
WK,73,11410,156.301369863014,20251024_drugs_mouse11_WT_scored_scores_1Hz.csv,20251024,drugs,mouse11,WT
NREM,214,12121,56.6401869158879,20251024_drugs_mouse11_WT_scored_scores_1Hz.csv,20251024,drugs,mouse11,WT
REM,24,2221,92.5416666666667,20251024_drugs_mouse11_WT_scored_scores_1Hz.csv,20251024,drugs,mouse11,WT
MA,143,1019,7.12587412587413,20251024_drugs_mouse11_WT_scored_scores_1Hz.csv,20251024,drugs,mouse11,WT
WK,24,10665,444.375,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT
NREM,76,17277,227.328947368421,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT
REM,25,3187,127.48,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT
MA,53,361,6.81132075471698,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv,20251025,ambtemp,mouse12,WT
WK,56,10746,191.892857142857,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv,20251026,drugs,mouse12,WT
NREM,208,15815,76.0336538461538,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv,20251026,drugs,mouse12,WT
REM,35,3876,110.742857142857,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv,20251026,drugs,mouse12,WT
MA,153,1204,7.86928104575163,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv,20251026,drugs,mouse12,WT
