Phase,APP_mouse1,APP_mouse10,WT_mouse11,WT_mouse12,WT_mouse2,APP_mouse3,WT_mouse4
0_3h,5.2,8.65384615384615,6.42105263157895,8.86363636363636,4.56470588235294,2.93846153846154,6.96428571428571
3_6h,6.54237288135593,5.99082568807339,7.84722222222222,7.69014084507042,5.046875,8.0188679245283,6.64102564102564
washout,4.42682926829268,6.23529411764706,6.36363636363636,7.05263157894737,6.16666666666667,9.33333333333333,7.36363636363636
