hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,3,2,0,3098,502,0
1,3600,6,14,1,1817,1703,34
2,7200,5,24,6,370,2582,564
3,10800,2,2,1,3139,406,55
4,14400,1,13,4,1638,1564,329
5,18000,5,34,6,710,2374,345
6,21600,6,50,5,380,2421,597
7,25200,7,40,6,853,2038,578
8,28800,2,10,2,495,740,255
