hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,ma_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s,ma_dur_s
0,0,12,55,4,43,967,2265,86,282
1,3600,14,43,6,30,690,2103,605,202
2,7200,10,53,7,41,937,2069,321,273
3,10800,13,44,7,31,606,2229,555,210
4,14400,5,39,1,34,1783,1547,41,229
5,18000,7,44,4,37,311,2610,364,315
6,21600,6,23,4,17,2190,1077,211,122
7,25200,9,35,7,27,1074,1767,578,181
8,28800,11,19,4,7,1883,1504,165,48
9,32400,3,4,1,2,1096,344,214,26
