state_code,start_s,end_s,dur_s
1,0,2,3
15,3,4,2
1,5,13,9
15,14,14,1
1,15,19,5
15,20,23,4
1,24,53,30
15,54,61,8
1,62,88,27
15,89,92,4
1,93,107,15
15,108,113,6
1,114,132,19
15,133,137,5
1,138,164,27
15,165,167,3
1,168,177,10
15,178,182,5
1,183,190,8
15,191,194,4
1,195,220,26
0,221,241,21
1,242,290,49
15,291,291,1
1,292,306,15
15,307,308,2
1,309,333,25
15,334,335,2
1,336,366,31
15,367,367,1
1,368,410,43
15,411,411,1
1,412,441,30
15,442,443,2
1,444,463,20
15,464,464,1
1,465,470,6
15,471,471,1
1,472,481,10
15,482,482,1
1,483,493,11
15,494,494,1
1,495,509,15
0,510,688,179
1,689,712,24
15,713,714,2
1,715,736,22
15,737,737,1
1,738,758,21
15,759,770,12
1,771,790,20
15,791,791,1
1,792,806,15
15,807,809,3
1,810,852,43
0,853,869,17
1,870,887,18
0,888,964,77
1,965,1008,44
15,1009,1020,12
1,1021,1088,68
2,1089,1160,72
0,1161,1234,74
1,1235,1241,7
15,1242,1243,2
1,1244,1256,13
15,1257,1258,2
1,1259,1415,157
15,1416,1420,5
1,1421,1474,54
15,1475,1477,3
1,1478,1533,56
15,1534,1536,3
1,1537,1610,74
0,1611,1981,371
1,1982,2016,35
15,2017,2022,6
1,2023,2072,50
15,2073,2074,2
1,2075,2119,45
0,2120,2163,44
1,2164,2241,78
15,2242,2243,2
1,2244,2258,15
2,2259,2291,33
0,2292,2427,136
1,2428,2501,74
15,2502,2504,3
1,2505,2544,40
15,2545,2547,3
1,2548,2638,91
15,2639,2653,15
1,2654,2694,41
15,2695,2696,2
1,2697,2747,51
15,2748,2749,2
1,2750,2798,49
2,2799,2831,33
0,2832,2875,44
1,2876,2893,18
15,2894,2894,1
1,2895,2930,36
15,2931,2932,2
1,2933,2961,29
15,2962,2963,2
1,2964,3001,38
15,3002,3002,1
1,3003,3038,36
0,3039,4661,1623
1,4662,4668,7
15,4669,4670,2
1,4671,4732,62
15,4733,4733,1
1,4734,4792,59
15,4793,4799,7
1,4800,4858,59
0,4859,4884,26
1,4885,4909,25
15,4910,4911,2
1,4912,4920,9
15,4921,4922,2
1,4923,4947,25
15,4948,4948,1
1,4949,4993,45
15,4994,4995,2
1,4996,5043,48
15,5044,5046,3
1,5047,5084,38
15,5085,5096,12
1,5097,5102,6
15,5103,5103,1
1,5104,5147,44
0,5148,5237,90
1,5238,5242,5
15,5243,5244,2
1,5245,5275,31
15,5276,5277,2
1,5278,5294,17
15,5295,5295,1
1,5296,5336,41
15,5337,5337,1
1,5338,5351,14
15,5352,5353,2
1,5354,5368,15
15,5369,5370,2
1,5371,5421,51
0,5422,5486,65
1,5487,5497,11
15,5498,5498,1
1,5499,5584,86
15,5585,5585,1
1,5586,5615,30
15,5616,5617,2
1,5618,5659,42
2,5660,5707,48
15,5708,5716,9
1,5717,5743,27
15,5744,5745,2
1,5746,5769,24
15,5770,5770,1
1,5771,5790,20
15,5791,5791,1
1,5792,5830,39
15,5831,5831,1
1,5832,5890,59
15,5891,5892,2
1,5893,5937,45
15,5938,5938,1
1,5939,5984,46
15,5985,5985,1
1,5986,6055,70
2,6056,6188,133
15,6189,6200,12
1,6201,6291,91
0,6292,6431,140
1,6432,6456,25
15,6457,6457,1
1,6458,6491,34
15,6492,6492,1
1,6493,6513,21
15,6514,6515,2
1,6516,6570,55
15,6571,6572,2
1,6573,6583,11
15,6584,6584,1
1,6585,6587,3
15,6588,6588,1
1,6589,6607,19
15,6608,6608,1
1,6609,6621,13
15,6622,6623,2
1,6624,6630,7
0,6631,6648,18
1,6649,6655,7
15,6656,6657,2
1,6658,6675,18
15,6676,6676,1
1,6677,6699,23
15,6700,6702,3
1,6703,6741,39
15,6742,6743,2
1,6744,6784,41
0,6785,6807,23
1,6808,6822,15
15,6823,6824,2
1,6825,6840,16
15,6841,6842,2
1,6843,6910,68
15,6911,6912,2
1,6913,6927,15
0,6928,6954,27
1,6955,6976,22
15,6977,6979,3
1,6980,6993,14
15,6994,6994,1
1,6995,7019,25
15,7020,7021,2
1,7022,7041,20
15,7042,7042,1
1,7043,7131,89
0,7132,7242,111
1,7243,7312,70
2,7313,7433,121
15,7434,7441,8
1,7442,7494,53
15,7495,7501,7
1,7502,7533,32
15,7534,7536,3
1,7537,7553,17
15,7554,7556,3
1,7557,7575,19
15,7576,7579,4
1,7580,7706,127
15,7707,7715,9
1,7716,7750,35
15,7751,7753,3
1,7754,7776,23
15,7777,7780,4
1,7781,7886,106
15,7887,7888,2
1,7889,7900,12
15,7901,7903,3
1,7904,7961,58
15,7962,7969,8
1,7970,7987,18
0,7988,8004,17
1,8005,8036,32
15,8037,8038,2
1,8039,8056,18
2,8057,8144,88
0,8145,8308,164
1,8309,8371,63
15,8372,8373,2
1,8374,8460,87
15,8461,8465,5
1,8466,8505,40
15,8506,8507,2
1,8508,8520,13
15,8521,8522,2
1,8523,8538,16
15,8539,8542,4
1,8543,8593,51
15,8594,8597,4
1,8598,8610,13
0,8611,9351,741
1,9352,9360,9
15,9361,9365,5
1,9366,9394,29
0,9395,9978,584
1,9979,10051,73
15,10052,10055,4
1,10056,10062,7
0,10063,10085,23
1,10086,10107,22
15,10108,10109,2
1,10110,10116,7
15,10117,10118,2
1,10119,10139,21
15,10140,10147,8
1,10148,10170,23
15,10171,10175,5
1,10176,10182,7
15,10183,10185,3
1,10186,10671,486
15,10672,10676,5
1,10677,10814,138
2,10815,10877,63
0,10878,10922,45
1,10923,10979,57
15,10980,10983,4
1,10984,11005,22
15,11006,11007,2
1,11008,11084,77
15,11085,11087,3
1,11088,11146,59
15,11147,11150,4
1,11151,11213,63
15,11214,11217,4
1,11218,11246,29
0,11247,11352,106
1,11353,11394,42
15,11395,11398,4
1,11399,11462,64
15,11463,11465,3
1,11466,11489,24
15,11490,11491,2
1,11492,11515,24
15,11516,11517,2
1,11518,11569,52
15,11570,11571,2
1,11572,11613,42
2,11614,11764,151
0,11765,12056,292
1,12057,12104,48
15,12105,12106,2
1,12107,12160,54
15,12161,12162,2
1,12163,12265,103
15,12266,12269,4
1,12270,12384,115
15,12385,12388,4
1,12389,12415,27
15,12416,12419,4
1,12420,12448,29
15,12449,12451,3
1,12452,12482,31
15,12483,12483,1
1,12484,12547,64
15,12548,12551,4
1,12552,12595,44
15,12596,12599,4
1,12600,12606,7
15,12607,12610,4
1,12611,12645,35
15,12646,12647,2
1,12648,12661,14
15,12662,12663,2
1,12664,12678,15
15,12679,12682,4
1,12683,12701,19
15,12702,12704,3
1,12705,12743,39
2,12744,12915,172
0,12916,12966,51
1,12967,13006,40
15,13007,13009,3
1,13010,13038,29
15,13039,13041,3
1,13042,13065,24
15,13066,13066,1
1,13067,13124,58
15,13125,13126,2
1,13127,13151,25
15,13152,13154,3
1,13155,13180,26
15,13181,13183,3
1,13184,13205,22
2,13206,13287,82
0,13288,13409,122
1,13410,13472,63
