hour_idx,hour_start_s,wk_bouts_per_h,nrem_bouts_per_h,rem_bouts_per_h,wk_dur_s,nrem_dur_s,rem_dur_s
0,0,3,5,0,3072,502,0
1,3600,13,21,2,1484,1724,310
2,7200,15,23,2,1057,2225,222
3,10800,3,5,0,2099,1488,0
4,14400,11,16,3,1729,1404,422
5,18000,17,24,3,825,2341,338
6,21600,6,13,1,1575,1840,120
7,25200,7,19,4,1170,1799,506
8,28800,7,14,3,960,2333,231
9,32400,11,12,3,1760,1404,225
