mouse,session,transition,n_events,peak_mean,peak_sem,ACh_NREM_PSD_power,ACh_NREM_PSD_peakfreq,ACh_NREM_PSD_peakamp
M2,baseline,Wake_onset,53,2.7308965662735,0.307090192267205,1.12978822674769,0.0124176345765591,69.1758264981752
M2,baseline,NREM_onset,53,2.5334228854744,0.308087051977971,NaN,NaN,NaN
M2,baseline,REM_onset,21,3.20947646624943,0.489602120242692,NaN,NaN,NaN
