label,time_rel_s,mean_dFF_bc,se,n
drug_injection,-173,0.700302037416606,0,1
drug_injection,-172,0.493357266305594,0,1
drug_injection,-171,-0.105733719648214,0,1
drug_injection,-170,-0.957968083204122,0,1
drug_injection,-169,-1.28678795415291,0,1
drug_injection,-168,-1.40034672337899,0,1
drug_injection,-167,-1.68640956002602,0,1
drug_injection,-166,-2.05684312898049,0,1
drug_injection,-165,-1.94179448205361,0,1
drug_injection,-164,-2.36724146920571,0,1
drug_injection,-163,-1.64225324708352,0,1
drug_injection,-162,-0.893224802793355,0,1
drug_injection,-161,-1.0336062582148,0,1
drug_injection,-160,-1.19020232278237,0,1
drug_injection,-159,-1.59103545266518,0,1
drug_injection,-158,-1.9028416546,0,1
drug_injection,-157,-1.99771913606057,0,1
drug_injection,-156,-2.08724149781594,0,1
drug_injection,-155,-1.63437279778847,0,1
drug_injection,-154,-1.53845271188149,0,1
drug_injection,-153,-1.73569950181374,0,1
drug_injection,-152,-1.38269719201455,0,1
drug_injection,-151,-0.796558585943074,0,1
drug_injection,-150,-0.130618897260518,0,1
drug_injection,-149,-0.542021659196706,0,1
drug_injection,-148,-0.995905009092183,0,1
drug_injection,-147,-1.28996571618447,0,1
drug_injection,-146,-0.887413230718465,0,1
drug_injection,-145,-0.16671552974114,0,1
drug_injection,-144,-0.510622528375478,0,1
drug_injection,-143,-1.19840952474007,0,1
drug_injection,-142,-1.49624165612587,0,1
drug_injection,-141,-1.63092264253029,0,1
drug_injection,-140,-1.59680065232644,0,1
drug_injection,-139,-1.98612007218728,0,1
drug_injection,-138,-2.12874611932168,0,1
drug_injection,-137,-1.82565864640603,0,1
drug_injection,-136,-2.0842905910624,0,1
drug_injection,-135,-1.78093394357094,0,1
drug_injection,-134,-1.90789279061684,0,1
drug_injection,-133,-2.03296336251626,0,1
drug_injection,-132,-2.21983822900185,0,1
drug_injection,-131,-1.80799564439187,0,1
drug_injection,-130,-1.48785015660653,0,1
drug_injection,-129,-1.4919243724955,0,1
drug_injection,-128,-1.28078135568032,0,1
drug_injection,-127,-1.08132490235695,0,1
drug_injection,-126,-1.19340452271828,0,1
drug_injection,-125,-1.11220439988503,0,1
drug_injection,-124,-1.0133528383387,0,1
drug_injection,-123,-0.54848894196877,0,1
