f_Hz,Pxx
0.009934108,201.0699
0.01986822,61.86702
0.02980232,24.28329
0.03973643,14.9516
0.04967054,10.41564
0.05960464,7.858379
0.06953876,6.042176
0.07947286,4.828018
0.08940697,4.100508
0.09934108,3.39369
